id,index,name,variant,filename,audio_path,duration_sec,bpm,key,energy,loudness,duration,family,tags
001_Blissful_A,1,Blissful,A,001_Blissful.m4a,/assets/media/audio/001_Blissful.m4a,124.2,86.1,F,0.1671,-310.84,,,
002_Blissful_B,2,Blissful,B,002_Blissful.m4a,/assets/media/audio/002_Blissful.m4a,140.88,89.1,F,0.1179,-371.43,,,
003_Liberated_A,3,Liberated,A,003_Liberated.m4a,/assets/media/audio/003_Liberated.m4a,133.88,103.4,C#,0.1285,-356.47,,,
004_Liberated_B,4,Liberated,B,004_Liberated.m4a,/assets/media/audio/004_Liberated.m4a,140.8,89.1,C#,0.1523,-326.91,,,
005_Ecstatic_A,5,Ecstatic,A,005_Ecstatic.m4a,/assets/media/audio/005_Ecstatic.m4a,129.68,161.5,F#,0.1338,-349.35,,,
006_Ecstatic_B,6,Ecstatic,B,006_Ecstatic.m4a,/assets/media/audio/006_Ecstatic.m4a,84.0,161.5,G,0.1437,-337.02,,,
007_Triumphant_A,7,Triumphant,A,007_Triumphant.m4a,/assets/media/audio/007_Triumphant.m4a,120.0,89.1,F,0.1415,-339.73,,,
008_Triumphant_B,8,Triumphant,B,008_Triumphant.m4a,/assets/media/audio/008_Triumphant.m4a,179.68,86.1,Eb,0.1468,-333.28,,,
009_Jubilant_A,9,Jubilant,A,009_Jubilant.m4a,/assets/media/audio/009_Jubilant.m4a,94.92,99.4,Eb,0.1266,-358.97,,,
010_Jubilant_B,10,Jubilant,B,010_Jubilant.m4a,/assets/media/audio/010_Jubilant.m4a,119.88,99.4,F,0.1509,-328.5,,,
011_Effervescent_A,11,Effervescent,A,011_Effervescent.m4a,/assets/media/audio/011_Effervescent.m4a,56.04,89.1,A,0.1197,-368.82,,,
012_Effervescent_B,12,Effervescent,B,012_Effervescent.m4a,/assets/media/audio/012_Effervescent.m4a,105.32,89.1,D,0.1329,-350.62,,,
013_Radiant_A,13,Radiant,A,013_Radiant.m4a,/assets/media/audio/013_Radiant.m4a,122.08,80.7,Bb,0.1266,-359.02,,,
014_Radiant_B,14,Radiant,B,014_Radiant.m4a,/assets/media/audio/014_Radiant.m4a,182.04,86.1,A,0.1632,-314.86,,,
015_Exuberant_A,15,Exuberant,A,015_Exuberant.m4a,/assets/media/audio/015_Exuberant.m4a,104.92,99.4,B,0.1346,-348.44,,,
016_Exuberant_B,16,Exuberant,B,016_Exuberant.m4a,/assets/media/audio/016_Exuberant.m4a,104.96,99.4,E,0.1329,-350.64,,,
017_Joyful_A,17,Joyful,A,017_Joyful.m4a,/assets/media/audio/017_Joyful.m4a,120.84,89.1,A,0.1437,-336.97,,,
018_Joyful_B,18,Joyful,B,018_Joyful.m4a,/assets/media/audio/018_Joyful.m4a,128.8,161.5,F#,0.1276,-357.7,,,
019_Heartfelt_A,19,Heartfelt,A,019_Heartfelt.m4a,/assets/media/audio/019_Heartfelt.m4a,152.76,172.3,D,0.1226,-364.61,,,
020_Heartfelt_B,20,Heartfelt,B,020_Heartfelt.m4a,/assets/media/audio/020_Heartfelt.m4a,152.16,161.5,G,0.1143,-376.81,,,
021_Uplifting_A,21,Uplifting,A,021_Uplifting.m4a,/assets/media/audio/021_Uplifting.m4a,177.24,123.0,C,0.1261,-359.74,,,
022_Uplifting_B,22,Uplifting,B,022_Uplifting.m4a,/assets/media/audio/022_Uplifting.m4a,163.32,80.7,Bb,0.1233,-363.58,,,
023_Buoyant_A,23,Buoyant,A,023_Buoyant.m4a,/assets/media/audio/023_Buoyant.m4a,119.36,184.6,C,0.131,-353.07,,,
024_Buoyant_B,24,Buoyant,B,024_Buoyant.m4a,/assets/media/audio/024_Buoyant.m4a,155.96,92.3,G,0.1512,-328.13,,,
025_Affectionate_A,25,Affectionate,A,025_Affectionate.m4a,/assets/media/audio/025_Affectionate.m4a,130.84,161.5,Bb,0.155,-323.84,,,
026_Affectionate_B,26,Affectionate,B,026_Affectionate.m4a,/assets/media/audio/026_Affectionate.m4a,135.32,86.1,Ab,0.1188,-370.04,,,
