id,index,name,variant,filename,audio_path,mood_group,color,bpm,key,energy,duration,family,tags
001_Blissful_A,001,Blissful,A,001_Blissful.m4a,/assets/media/audio/001_Blissful.m4a,,,,,,,,
002_Blissful_B,002,Blissful,B,002_Blissful.m4a,/assets/media/audio/002_Blissful.m4a,,,,,,,,
003_Liberated_A,003,Liberated,A,003_Liberated.m4a,/assets/media/audio/003_Liberated.m4a,,,,,,,,
004_Liberated_B,004,Liberated,B,004_Liberated.m4a,/assets/media/audio/004_Liberated.m4a,,,,,,,,
005_Ecstatic_A,005,Ecstatic,A,005_Ecstatic.m4a,/assets/media/audio/005_Ecstatic.m4a,,,,,,,,
006_Ecstatic_B,006,Ecstatic,B,006_Ecstatic.m4a,/assets/media/audio/006_Ecstatic.m4a,,,,,,,,
007_Triumphant_A,007,Triumphant,A,007_Triumphant.m4a,/assets/media/audio/007_Triumphant.m4a,,,,,,,,
008_Triumphant_B,008,Triumphant,B,008_Triumphant.m4a,/assets/media/audio/008_Triumphant.m4a,,,,,,,,
009_Jubilant_A,009,Jubilant,A,009_Jubilant.m4a,/assets/media/audio/009_Jubilant.m4a,,,,,,,,
010_Jubilant_B,010,Jubilant,B,010_Jubilant.m4a,/assets/media/audio/010_Jubilant.m4a,,,,,,,,
011_Effervescent_A,011,Effervescent,A,011_Effervescent.m4a,/assets/media/audio/011_Effervescent.m4a,,,,,,,,
012_Effervescent_B,012,Effervescent,B,012_Effervescent.m4a,/assets/media/audio/012_Effervescent.m4a,,,,,,,,
013_Radiant_A,013,Radiant,A,013_Radiant.m4a,/assets/media/audio/013_Radiant.m4a,,,,,,,,
014_Radiant_B,014,Radiant,B,014_Radiant.m4a,/assets/media/audio/014_Radiant.m4a,,,,,,,,
015_Exuberant_A,015,Exuberant,A,015_Exuberant.m4a,/assets/media/audio/015_Exuberant.m4a,,,,,,,,
016_Exuberant_B,016,Exuberant,B,016_Exuberant.m4a,/assets/media/audio/016_Exuberant.m4a,,,,,,,,
017_Joyful_A,017,Joyful,A,017_Joyful.m4a,/assets/media/audio/017_Joyful.m4a,,,,,,,,
018_Joyful_B,018,Joyful,B,018_Joyful.m4a,/assets/media/audio/018_Joyful.m4a,,,,,,,,
019_Heartfelt_A,019,Heartfelt,A,019_Heartfelt.m4a,/assets/media/audio/019_Heartfelt.m4a,,,,,,,,
020_Heartfelt_B,020,Heartfelt,B,020_Heartfelt.m4a,/assets/media/audio/020_Heartfelt.m4a,,,,,,,,
021_Uplifting_A,021,Uplifting,A,021_Uplifting.m4a,/assets/media/audio/021_Uplifting.m4a,,,,,,,,
022_Uplifting_B,022,Uplifting,B,022_Uplifting.m4a,/assets/media/audio/022_Uplifting.m4a,,,,,,,,
023_Buoyant_A,023,Buoyant,A,023_Buoyant.m4a,/assets/media/audio/023_Buoyant.m4a,,,,,,,,
024_Buoyant_B,024,Buoyant,B,024_Buoyant.m4a,/assets/media/audio/024_Buoyant.m4a,,,,,,,,
025_Affectionate_A,025,Affectionate,A,025_Affectionate.m4a,/assets/media/audio/025_Affectionate.m4a,,,,,,,,
026_Affectionate_B,026,Affectionate,B,026_Affectionate.m4a,/assets/media/audio/026_Affectionate.m4a,,,,,,,,
027_Intimate_A,027,Intimate,A,027_Intimate.m4a,/assets/media/audio/027_Intimate.m4a,,,,,,,,
028_Intimate_B,028,Intimate,B,028_Intimate.m4a,/assets/media/audio/028_Intimate.m4a,,,,,,,,
029_Warm_A,029,Warm,A,029_Warm.m4a,/assets/media/audio/029_Warm.m4a,,,,,,,,
030_Warm_B,030,Warm,B,030_Warm.m4a,/assets/media/audio/030_Warm.m4a,,,,,,,,
