date,title,url,snippet,source,keyword_source,status,flags,score,tags,url_normalized
2025-07-21,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=https://routenote.com/radar/aso-driving-a-warm-and-introspective-lo-fi-instrumental/&ct=ga&cd=CAEYACoUMTUxMzI2MDY1NTI0NDQwNDE0NjgyGjI5OWVmNjc3NDNjODE2NjA6Y29tOmVuOlVT&usg=AOvVaw1wXFO8Oq9IRKr99HL8UCPU>,"=== News - 10 new results for [Lo-Fi] ===
 
 Aso - Driving: A Warm and Introspective Lo-Fi Instrumental - RouteNote -
 Radar
 RouteNote
 Aso's “Driving” is a warm, introspective lo-fi instrumental tha",Google Alert,lo-fi,pending,,70,#StudioRichCore,https://www.google.com/url?rct=j&sa=t&url=https://routenote.com/radar/aso-driving-a-warm-and-introspective-lo-fi-instrumental/&ct=ga&cd=caeyacoumtuxmzi2mdy1nti0ndqwnde0njgygji5owvmnjc3ndnjode2nja6y29tomvuolvt&usg=aovvaw1wxfo8oq9irkr99hl8ucpu>
2025-07-22,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=https://earmilk.com/2025/07/21/t-m-shares-lo-fi-heartbreak-anthem-sadderday/&ct=ga&cd=CAEYACoTMTc3NjM2ODg1NjE5MzQ0Njk3ODIaN2UzM2ZkNjllYmQ3YmJkNjpjb206ZW46VVM&usg=AOvVaw1gL55KWIQdglAbNeeZY6oW>,"=== News - 9 new results for [Lofi] ===
 
 T.M. shares lo-fi heartbreak anthem “SADDERDAY” - EARMILK
 EARMILK
 T.M. shares lo-fi heartbreak anthem “SADDERDAY” ... In an era dominated by
 high-gloss pr",Google Alert,lo-fi,pending,,70,#StudioRichCore,https://www.google.com/url?rct=j&sa=t&url=https://earmilk.com/2025/07/21/t-m-shares-lo-fi-heartbreak-anthem-sadderday/&ct=ga&cd=caeyacotmtc3njm2odg1nje5mzq0njk3odian2uzm2zknjllymq3ymjknjpjb206zw46vvm&usg=aovvaw1gl55kwiqdglabneezy6ow>
2025-07-28,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=https://www.laughingplace.com/disney-entertainment/fantastic-four-mickey-lo-fi/&ct=ga&cd=CAEYACoUMTUxMzE5NDU1NDYxMzUwNzIxNjkyGjdlMzNmZDY5ZWJkN2JiZDY6Y29tOmVuOlVT&usg=AOvVaw3TC43MReqKA9gmznKZgbhB>,"=== News - 3 new results for [Lofi] ===
 
 Lofi with Layers: Disney's Newest Soundtrack Vid Checks Off A Few Boxes on
 the Synergy Checklist
 Laughing Place
 A new video has arrived featuring the soun",Google Alert,lo-fi,pending,,55,#SceneFocus,https://www.google.com/url?rct=j&sa=t&url=https://www.laughingplace.com/disney-entertainment/fantastic-four-mickey-lo-fi/&ct=ga&cd=caeyacoumtuxmze5ndu1ndyxmzuwnzixnjkygjdlmznmzdy5zwjkn2jizdy6y29tomvuolvt&usg=aovvaw3tc43mreqka9gmznkzgbhb>
2025-07-31,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=https://www.eonline.com/news/1420565/youtubes-lo-fi-girl-graduates-after-studying-for-7-years&ct=ga&cd=CAEYACoUMTQwMzk1NTQxODQyNTg5MzA2NTEyGjI5OWVmNjc3NDNjODE2NjA6Y29tOmVuOlVT&usg=AOvVaw1AM1nlrwXmNwmTlV4BQ5vF>,"=== News - 10 new results for [Lo-Fi] ===
 
 YouTube's Lofi Girl Graduates After Studying for 7 Years - E! News
 E! News
 Lofi Girl—whose perpetual studying animation accompanies a long-running
 YouTu",Google Alert,lo-fi,pending,,70,#StudioRichCore,https://www.google.com/url?rct=j&sa=t&url=https://www.eonline.com/news/1420565/youtubes-lo-fi-girl-graduates-after-studying-for-7-years&ct=ga&cd=caeyacoumtqwmzk1ntqxodqyntg5mza2nteygji5owvmnjc3ndnjode2nja6y29tomvuolvt&usg=aovvaw1am1nlrwxmnwmtlv4bq5vf>
2025-07-31,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=https://www.eonline.com/news/1420565/youtubes-lo-fi-girl-graduates-after-studying-for-7-years&ct=ga&cd=CAEYACoUMTc0NTQ0MjgwMzA1NDEzNzExMTUyGjdlMzNmZDY5ZWJkN2JiZDY6Y29tOmVuOlVT&usg=AOvVaw1AM1nlrwXmNwmTlV4BQ5vF>,"=== News - 10 new results for [Lofi] ===
 
 YouTube's Lofi Girl Graduates After Studying for 7 Years - E! News
 E! News
 Lofi Girl—whose perpetual studying animation accompanies a long-running
 YouTub",Google Alert,lo-fi,pending,,50,,https://www.google.com/url?rct=j&sa=t&url=https://www.eonline.com/news/1420565/youtubes-lo-fi-girl-graduates-after-studying-for-7-years&ct=ga&cd=caeyacoumtc0ntq0mjgwmza1ndeznzexmtuygjdlmznmzdy5zwjkn2jizdy6y29tomvuolvt&usg=aovvaw1am1nlrwxmnwmtlv4bq5vf>
2025-08-01,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=https://thehustle.co/news/this-ai-device-lets-you-watch-your-dreams-as-lo-fi-movies&ct=ga&cd=CAEYACoTMjU3MDQyMTkzODI2NTQzMDQzMTIaMjk5ZWY2Nzc0M2M4MTY2MDpjb206ZW46VVM&usg=AOvVaw0y1Na5K2a9bIzmhMCRx81V>,"=== News - 10 new results for [Lo-Fi] ===
 
 This AI device lets you watch your dreams as lo-fi movies - The Hustle
 The Hustle
 Modem's Dream Recorder generates users' dreams into lo-fi movies.
 <htt",Google Alert,lo-fi,pending,,70,#StudioRichCore,https://www.google.com/url?rct=j&sa=t&url=https://thehustle.co/news/this-ai-device-lets-you-watch-your-dreams-as-lo-fi-movies&ct=ga&cd=caeyacotmju3mdqymtkzodi2ntqzmdqzmtiamjk5zwy2nzc0m2m4mty2mdpjb206zw46vvm&usg=aovvaw0y1na5k2a9bizmhmcrx81v>
2025-08-01,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=https://vocal.media/humans/lo-fi-girl-graduates-after-eight-years-of-eternal-studying&ct=ga&cd=CAEYACoUMTQ2NTA2NTY2MDc5MjMyNjA2NjIyGjdlMzNmZDY5ZWJkN2JiZDY6Y29tOmVuOlVT&usg=AOvVaw1YxJg946-blgJkOMhiJAPp>,"=== News - 10 new results for [Lofi] ===
 
 Lofi Girl Graduates After Eight Years of Eternal Studying | Humans - Vocal
 Media
 Vocal Media
 The studying is over for the face behind the viral Lofi live",Google Alert,lo-fi,pending,,50,,https://www.google.com/url?rct=j&sa=t&url=https://vocal.media/humans/lo-fi-girl-graduates-after-eight-years-of-eternal-studying&ct=ga&cd=caeyacoumtq2nta2nty2mdc5mjmynja2njiygjdlmznmzdy5zwjkn2jizdy6y29tomvuolvt&usg=aovvaw1yxjg946-blgjkomhijapp>
2025-08-02,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=https://timesofindia.indiatimes.com/etimes/trending/after-8-years-the-lo-fi-girl-has-finally-graduated-and-the-internet-is-nostalgic/articleshow/123051163.cms&ct=ga&cd=CAEYACoSMjc5NDIxMzc1ODQ5NTczMjc0MhoyOTllZjY3NzQzYzgxNjYwOmNvbTplbjpVUw&usg=AOvVaw3PHxOiZFXjMrLQ8_tZMA0m>,"=== News - 10 new results for [Lo-Fi] ===
 
 After 8 years, the lo-fi girl has finally graduated- and the internet is
 nostalgic - Times of India
 Times of India
 Trending News: After eight years of c",Google Alert,lo-fi,pending,,75,"#WeirdMusicInternet, #StudioRichCore",https://www.google.com/url?rct=j&sa=t&url=https://timesofindia.indiatimes.com/etimes/trending/after-8-years-the-lo-fi-girl-has-finally-graduated-and-the-internet-is-nostalgic/articleshow/123051163.cms&ct=ga&cd=caeyacosmjc5ndixmzc1odq5ntczmjc0mhoyotllzjy3nzqzyzgxnjywomnvbtplbjpvuw&usg=aovvaw3phxoizfxjmrlq8_tzma0m>
2025-08-03,Google Alert - Lo-Fi,https://www.google.com/url?rct=j&sa=t&url=https://www.msn.com/en-us/music/news/vinyl-lp-of-lo-fi-remixes-of-classic-konami-arcade-themes/ar-AA1JJbf6&ct=ga&cd=CAEYACoUMTU4NTQ1MjYyNzAxNDE5NTk0NzMyGjI5OWVmNjc3NDNjODE2NjA6Y29tOmVuOlVT&usg=AOvVaw2eY9AnEOM3d5Suei_aR40L>,"=== News - 10 new results for [Lo-Fi] ===
 
 Vinyl LP of lo-fi remixes of classic Konami arcade themes - MSN
 MSN
 Konami LoFi Beats To Chill To [sold out, try eBay] is a vinyl LP featuring
 relaxing,",Google Alert,lo-fi,pending,,75,"#SceneFocus, #StudioRichCore",https://www.google.com/url?rct=j&sa=t&url=https://www.msn.com/en-us/music/news/vinyl-lp-of-lo-fi-remixes-of-classic-konami-arcade-themes/ar-aa1jjbf6&ct=ga&cd=caeyacoumtu4ntq1mjyynzaxnde5ntk0nzmygji5owvmnjc3ndnjode2nja6y29tomvuolvt&usg=aovvaw2ey9aneom3d5suei_ar40l>
2025-08-03,Google Alert - Lofi,https://www.google.com/url?rct=j&sa=t&url=https://www.msn.com/en-us/music/news/vinyl-lp-of-lo-fi-remixes-of-classic-konami-arcade-themes/ar-AA1JJbf6&ct=ga&cd=CAEYACoUMTgwMjM1OTA0NTYzNjA5MjQzMTEyGjdlMzNmZDY5ZWJkN2JiZDY6Y29tOmVuOlVT&usg=AOvVaw2eY9AnEOM3d5Suei_aR40L>,"=== News - 10 new results for [Lofi] ===
 
 Vinyl LP of lo-fi remixes of classic Konami arcade themes - MSN
 MSN
 Konami LoFi Beats To Chill To [sold out, try eBay] is a vinyl LP featuring
 relaxing,",Google Alert,lo-fi,pending,,75,"#SceneFocus, #StudioRichCore",https://www.google.com/url?rct=j&sa=t&url=https://www.msn.com/en-us/music/news/vinyl-lp-of-lo-fi-remixes-of-classic-konami-arcade-themes/ar-aa1jjbf6&ct=ga&cd=caeyacoumtgwmjm1ota0ntyznja5mjqzmteygjdlmznmzdy5zwjkn2jizdy6y29tomvuolvt&usg=aovvaw2ey9aneom3d5suei_ar40l>
